user;algorithm;neg_mean_squared_error;feature_user;feature_alcohol_beer;feature_alcohol_otherfermented;feature_alcohol_wine;feature_alcohol_winemix;feature_birthdate;feature_depression_q1;feature_depression_q10;feature_depression_q2;feature_depression_q3;feature_depression_q4;feature_depression_q5;feature_depression_q6;feature_depression_q7;feature_depression_q8;feature_depression_q9;feature_diet_q1;feature_diet_q10;feature_diet_q11;feature_diet_q12;feature_diet_q13;feature_diet_q14;feature_diet_q2;feature_diet_q3;feature_diet_q4;feature_diet_q5;feature_diet_q6;feature_diet_q7;feature_diet_q8;feature_diet_q9;feature_height;feature_measurementtime;feature_med_Acido acetil salicilico;feature_med_Hidroclorotiazida;feature_med_Ibuprofeno;feature_med_Lercanidipino;feature_med_Lorazepam;feature_med_Lormetazepam;feature_med_Naproxeno;feature_med_Paracetamol;feature_med_Sertralina;feature_med_Zolpidem;feature_physical_q1;feature_physical_q2;feature_physical_q3;feature_physical_q4;feature_physical_q5;feature_physical_q6;feature_physical_q7;feature_pulse;feature_smoke_cigarettes;feature_smoke_electronic;feature_social_q1;feature_social_q2;feature_social_q3;feature_social_q4;feature_social_q5;feature_social_q6;feature_social_q7;feature_steps;feature_stress_q1;feature_stress_q10;feature_stress_q11;feature_stress_q12;feature_stress_q13;feature_stress_q14;feature_stress_q2;feature_stress_q3;feature_stress_q4;feature_stress_q5;feature_stress_q6;feature_stress_q7;feature_stress_q8;feature_stress_q9;feature_weather_clouds;feature_weather_feels;feature_weather_humidity;feature_weather_pressure;feature_weather_temp;feature_weather_tempmax;feature_weather_tempmin;feature_weather_windspeed;feature_weight;feature_educationlevel;feature_gender
1;RF;6.545553337568389;0.0;0.0;0.0;0.0;0.0;0.0;0.004955616219335623;0.0;0.0;0.0;0.0;0.0;0.0;0.0048995514557243144;0.0026367549860650697;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13651610272379988;0.0;0.006139826582653919;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0013725075617439888;0.0013993109283996774;0.009023258634716742;0.01432145194363978;0.02446399363851417;0.06925899013828307;0.0;0.0;0.0;0.0032392244675268846;0.0;0.0;0.0027339445587475962;0.0027768422504582126;0.0;0.3078067921639283;0.0027450611020181323;0.004710516356319497;0.003014563026312187;0.003024441699295884;0.004455122068412093;0.003113471787378139;0.00207421595318217;0.0;0.0;0.0;0.0016958579491285675;0.0009965049611881998;0.0;0.004235653412741192;0.033132769164820774;0.0663183024329546;0.05075915665266063;0.035893154631150115;0.06957644532626005;0.047134177989407416;0.035217831136008196;0.04035858609722509;0.0;0.0;0.0
2;RF;5.26547405480202;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007291138434027597;0.0;0.008012284576694164;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01311785533937838;0.0;0.0;0.0;0.0;0.0;0.0;0.07591165174721015;0.0013097980069776802;0.0;0.01084105740624514;0.0;0.0;0.0;0.0;0.0031407834088279965;0.0;0.0;0.01128640783183382;0.016947966774373734;0.006290370487600116;0.01353934864221677;0.007814114165980851;0.01666246977752495;0.020625611949311815;0.07629913745079468;0.0;0.0;0.0;0.0;0.0;0.012926811916824179;0.0;0.0;0.0;0.07866370182696354;0.0053088529504682035;0.012447488085771822;0.010515953050421472;0.0;0.007125373074515873;0.010810450524663624;0.01387668680131017;0.010159966867696065;0.0;0.0;0.0;0.006713721819439979;0.009605804982972536;0.0;0.021595740925397705;0.07401767933847149;0.05824025191584729;0.055761164208224405;0.08132229396600256;0.07238077460552687;0.0781397780364527;0.09129750910403173;0.0;0.0;0.0
3;RF;7.9692499310927705;0.0;0.0;0.0;0.0;0.0;0.0;0.006813283018568473;0.00028874091310470085;0.0033113503346028934;0.004807931531030398;0.001840939008431085;0.0;0.0;0.00301773333025553;0.004502114273975851;0.0018020052433659994;0.0;0.0;0.0;0.0;0.003372696141267232;0.0;0.0;0.005871927478681395;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.051643541272520146;0.0006651705826683594;0.0;0.0;0.0;0.0;0.0;0.005541515012725887;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00885354485061862;0.005154517558347085;0.008637327089907523;0.06825660083841488;0.05728385941182996;0.05624424820103753;0.000738283871762062;0.00549673277336357;0.0036420499484459503;0.0;0.0022898683877207427;0.0022543774572870113;0.0;0.3079486121141596;0.003501506336122467;0.0;0.002214786725843178;0.0030871486179790235;0.0;0.007608274342111987;0.007052967862257634;0.0026735911254877546;0.0030981831078556706;0.0031974148811862;0.0;0.0;0.00520884459822697;0.0014263293142998542;0.02677866990026123;0.05108048028537206;0.03617314667920511;0.04248665050477753;0.08831373210861966;0.042916733109798516;0.018659136233862273;0.03424343362264036;0.0;0.0;0.0
4;RF;4.290662998891226;0.0;0.018160115652082903;0.0;0.007910995962826987;0.041504052370703357;0.0;0.0;0.0;0.0;0.006395337779779798;0.002247573458790897;0.0;0.010390726692885308;0.0;0.010076657452954314;0.0;0.005574815928478968;0.0;0.0;0.0;0.0;0.008326876644449912;0.0;0.00427854379756116;0.0;0.001433206736039606;0.0;0.0;0.0;0.0;0.0;0.07563203103185123;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003337953097643154;0.0;0.0;0.0022898776737930735;0.0023871397354603115;0.011398170906896626;0.007627725738830498;0.00837468950607529;0.006003597552462154;0.0014812120117947336;0.0685313088507817;0.0;0.0;0.005631269499311963;0.0;0.006037373586130982;0.0042548079284581335;0.0;0.0;0.0;0.06713244723345486;0.003136006152385915;0.003025866642098969;0.00480963119650141;0.0;0.001734470465609026;0.0036808216017376366;0.006910670843266794;0.0;0.01395777442693218;0.0;0.0;0.007448181136718762;0.00746607799025522;0.0009140976445266555;0.04608399289836272;0.07154428729376716;0.06578609609278453;0.06625349482870696;0.08100954145177651;0.09053043695866783;0.08165520697702348;0.05763483856938035;0.0;0.0;0.0
5;RF;14.051503222410208;0.0;0.0;0.023309663226471516;0.0;0.004654508811728574;0.0;0.008545594023893524;0.0;0.0;0.011036262946319262;0.0;0.008878005632098618;0.005086272070348606;0.0007105584638770194;0.0;0.013074082069984153;0.0;0.0;0.007692583778007266;0.0;0.0;0.0;0.0;0.014136240276089996;0.0;0.0;0.0;0.007496476891851465;0.0;0.0;0.0;0.09494078333813931;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006216051709746024;0.021066737866824205;0.008160637608894626;0.008721311974359417;0.01609634413542584;0.028031773537101786;0.001550052848827482;0.054728276382113084;0.0;0.0;0.0;0.006247694672417029;0.007009987074695016;0.012441725677637652;0.00831014004552554;0.0005203709920992365;0.0;0.1558579842522508;0.0017734489946958833;0.0;0.002657775910864696;0.0002686839733053029;0.0;0.0059450319221000655;0.0005826371199101904;0.005008870327601512;0.0041464928067911876;0.001251704509669577;0.018031655115188835;0.0;0.0;0.0;0.06598406861000868;0.044646379425443375;0.049704592332448075;0.029245957544343122;0.10279434339208497;0.03596175273046112;0.03922540423459915;0.058251080743757226;0.0;0.0;0.0
6;RF;6.8491283526415065;0.0;0.0;0.0;0.0;0.0;0.0;0.0017837596377336523;0.003145720125131325;0.008478410660346877;0.02930691150198916;0.013420692598985802;0.0;0.015157003282596393;0.009116035857809509;0.012680852538575513;0.0;0.0;0.001953644487876761;0.0;0.0;0.0;0.003504549237518018;0.0;0.008538461930404764;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07588439647489426;0.0;0.0;0.0;0.0;0.0;0.0;0.012478188668294256;0.0020890946889007135;0.0;0.0;0.005627466976626506;0.005607335904276501;0.014481053144799774;0.008976004462863646;0.00644276007825085;0.025685137917160587;0.010614124440376531;0.0761842447307009;0.0;0.0;0.0;0.0;0.0;0.0019649757081095657;0.0;0.0;0.0;0.0556401176271443;0.03185884159635513;0.004099277335771963;0.029412653608573053;0.012817642191446007;0.002653137782679322;0.02430908947882052;0.008278543789888859;0.018797043457730506;0.0;0.0024256882366755026;0.00643338835476104;0.015446944746324857;0.01806461655469033;0.00684995336700183;0.026152713918974113;0.05992425196034566;0.04389964286381275;0.07293395097085559;0.046148023687198295;0.04867465594537715;0.04948902865947173;0.05485649807406929;0.007713470737810291;0.0;0.0
7;RF;9.17360015929468;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003535114316139945;0.0;0.0018029665320478709;0.0024446041755921554;0.003568293118753823;0.003627258988699828;0.0020651154353854943;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00935170888152746;0.003326952684993989;0.0;0.0;0.0;0.0;0.0;0.004164565813050218;0.0;0.1882529553166741;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008514727546126541;0.007813322335793928;0.0023218478694506995;0.003210833175208442;0.0;0.006503150525637448;0.0;0.11463792447447857;0.0;0.0;0.0;0.0;0.0;0.001607089715344589;0.0;0.007717692323001206;0.0;0.09833276782326392;0.006744727141741266;0.008231709631560304;0.010476545099261847;0.0009056419849386756;0.0;0.006373912656146248;0.009145471838460512;0.01955006167930597;0.003058527344385457;0.002619597237616801;0.002952107703126201;0.0035433849295923507;0.0036924697509413524;0.0017078400734677737;0.0605739865798683;0.10162837713948696;0.07469253934054579;0.044938095616675146;0.0343323789454764;0.045355684641308416;0.028554975546938515;0.058123074067985156;0.0;0.0;0.0
General;RF;8.458861541685106;0.04861047278392622;0.00010919902257344806;0.007612662355317969;3.181019800521148e-05;0.0006329649109268427;0.06513842022169557;0.00046381213198174706;0.11819387587186901;0.00024402849787166892;0.0005772369602503835;0.0018934878000629815;0.0008721536735189858;0.0005077831586067479;0.00033155843084924525;0.2599855650419745;0.00045343709389772114;0.00021333135507848572;0.0038623043533768495;0.0002935141283114892;0.0003639443594004866;0.00410001535057323;0.00015318192343797714;0.0012464835214313805;0.0006965429010631978;7.512961091056442e-05;0.0013959565858230399;4.2262659354704526e-05;0.00029427570716562156;4.4446051618491505e-05;0.0008417261824918113;0.0002947723885375448;0.02272919640369707;3.291535743631113e-05;1.5607404963416765e-05;5.9380532659237055e-05;0.030316351905218048;8.310058757066492e-05;2.7876821188963514e-05;0.00031590841360621216;7.680441378919105e-05;0.03326418012424148;0.03743588315038219;0.0008204485708494621;0.12870746260309152;0.0013537931368950065;0.0009691499065655837;0.03300382661685507;0.0022116142670765126;0.0017804615359038767;0.015068293565522535;0.001305553969930193;0.0006520629214029507;0.002615148633450335;0.0006961047316378454;0.003090415216844656;0.000557173018354525;0.0023126261688336557;0.0009036736582884432;7.020440425745862e-05;0.03570480485679905;0.0023150358678564738;0.0002993102304249536;0.0004240993759314895;0.0004667134904135502;0.0005205309582229824;0.00041888658530688026;0.0018980246202849375;0.001140964254956201;0.0007568022205880426;0.0056545967169151674;0.000685872427056412;0.00022553583897032975;0.0003981954123236114;0.00032049169899635267;0.0030806798243846866;0.014767773033236153;0.006878842470461705;0.008047259017009794;0.007321998698197898;0.0047513926638926285;0.0062154531240654;0.00956098393251703;0.005792209233669813;1.3884621979646282e-05;0.00021620420379562011
1;DT;7.864674944281524;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2512137743656652;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7487862256343347;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;DT;4.864153089655511;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4430361593327702;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5569638406672298;0.0;0.0;0.0;0.0;0.0;0.0
